,날짜,시간대,티익스프레스,사파리월드,로스트밸리,아마존익스프레스,썬더폴스,콜럼버스대탐험,더블락스핀,랫츠트위스트,롤링엑스트레인,허리케인,챔피온쉽로데오,로얄쥬빌리캐로셀,시크릿쥬쥬비행기,플래쉬팡팡,피터팬,나는코끼리,로보트카,붕붕카,스카이댄싱,매직스윙,비룡열차,우주전투기,레이싱코스터,릴리댄스,플라잉레스큐,슈팅고스트
0,45252.0,10:30:00,130.0,-1.0,-1.0,-1.0,30.0,20.0,30.0,20.0,-1.0,50.0,-1.0,10.0,10.0,10.0,40.0,10.0,10.0,10.0,10.0,10.0,20.0,-1.0,20.0,10.0,10.0,10.0
1,45252.0,11:30:00,120.0,-1.0,-1.0,-1.0,30.0,20.0,40.0,20.0,-1.0,30.0,-1.0,20.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,30.0,-1.0,10.0,20.0,10.0,20.0
2,45252.0,12:30:00,100.0,60.0,60.0,40.0,40.0,30.0,40.0,20.0,-1.0,30.0,-1.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,-1.0,10.0,10.0,10.0,10.0
3,45252.0,13:30:00,80.0,60.0,60.0,40.0,20.0,20.0,20.0,20.0,-1.0,40.0,-1.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,20.0,10.0,10.0,10.0
4,45252.0,14:30:00,70.0,50.0,50.0,30.0,30.0,10.0,10.0,20.0,-1.0,20.0,-1.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,20.0,10.0,10.0,20.0
5,45252.0,15:30:00,60.0,50.0,-1.0,20.0,30.0,10.0,10.0,20.0,-1.0,30.0,-1.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,-1.0,20.0,10.0,10.0,10.0
6,45252.0,16:30:00,50.0,-1.0,-1.0,20.0,20.0,10.0,10.0,20.0,-1.0,30.0,-1.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,-1.0,20.0,10.0,10.0,10.0
7,45252.0,17:30:00,50.0,-1.0,-1.0,20.0,20.0,10.0,10.0,20.0,-1.0,30.0,-1.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,30.0,10.0,20.0,-1.0,10.0,10.0,10.0,10.0
8,45252.0,18:30:00,30.0,-1.0,-1.0,10.0,10.0,10.0,10.0,20.0,-1.0,30.0,-1.0,20.0,-1.0,10.0,30.0,10.0,-1.0,10.0,40.0,10.0,10.0,-1.0,10.0,10.0,10.0,10.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,45253.0,10:30:00,131.0,-1.0,-1.0,-1.0,-1.0,20.0,30.0,-1.0,-1.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,10.0,-1.0,10.0,10.0,-1.0,10.0,10.0,10.0,10.0
13,45253.0,11:30:00,-1.0,-1.0,69.0,50.0,30.0,20.0,50.0,-1.0,-1.0,50.0,10.0,10.0,10.0,10.0,10.0,10.0,-1.0,10.0,-1.0,10.0,10.0,-1.0,20.0,10.0,10.0,20.0
14,45253.0,12:30:00,100.0,60.0,60.0,40.0,40.0,30.0,40.0,20.0,-1.0,30.0,-1.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,-1.0,10.0,10.0,10.0,10.0
