,time(minute),티익스프레스,사파리월드,로스트밸리,아마존익스프레스,썬더폴스,콜럼버스대탐험,더블락스핀,랫츠트위스트,롤링엑스트레인,허리케인,챔피온쉽로데오,로얄쥬빌리캐로셀,시크릿쥬쥬비행기,플래쉬팡팡,피터팬,나는코끼리,로보트카,붕붕카,스카이댄싱,매직스윙,비룡열차,우주전투기,레이싱코스터,릴리댄스,플라잉레스큐,슈팅고스트
0,티익스프레스,0.0,2,6.0,3,16.0,22.0,16.0,14.0,15.0,18.0,19.0,10.0,12.0,13.0,13.0,12.0,13.0,12.0,11.0,12.0,8.0,9.0,19.0,18.0,18.0,3.0
1,사파리월드,2.0,0,4.0,1,15.0,20.0,15.0,14.0,14.0,16.0,17.0,10.0,11.0,13.0,12.0,12.0,13.0,12.0,11.0,11.0,8.0,9.0,18.0,17.0,17.0,2.0
2,로스트밸리,6.0,4,0.0,4,19.0,23.0,19.0,18.0,18.0,19.0,20.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,11.0,12.0,20.0,20.0,19.0,6.0
3,아마존익스프레스,3.0,1,4.0,0,14.0,16.0,13.0,12.0,12.0,12.0,14.0,11.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,11.0,8.0,9.0,17.0,15.0,15.0,3.0
4,썬더폴스,16.0,15,19.0,14,0.0,5.0,7.0,8.0,7.0,4.0,4.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,8.0,8.0,3.0,2.0,2.0,12.0
5,콜럼버스대탐험,22.0,20,23.0,16,5.0,0.0,6.0,7.0,7.0,4.0,2.0,11.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,13.0,13.0,5.0,5.0,5.0,19.0
6,더블락스핀,16.0,15,19.0,13,7.0,6.0,0.0,1.0,1.0,1.0,3.0,11.0,5.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,7.0,7.0,7.0,6.0,8.0,12.0
7,랫츠트위스트,14.0,14,18.0,12,8.0,7.0,1.0,0.0,1.0,2.0,4.0,9.0,3.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,6.0,5.0,8.0,7.0,9.0,11.0
8,롤링엑스트레인,15.0,14,18.0,12,7.0,7.0,1.0,1.0,0.0,2.0,3.0,10.0,4.0,11.0,10.0,11.0,10.0,11.0,11.0,12.0,6.0,6.0,7.0,7.0,8.0,12.0
9,허리케인,18.0,16,19.0,12,4.0,4.0,1.0,2.0,2.0,0.0,1.0,11.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,5.0,5.0,6.0,15.0
10,챔피온쉽로데오,19.0,17,20.0,14,4.0,2.0,3.0,4.0,3.0,1.0,0.0,11.0,9.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0,11.0,10.0,5.0,4.0,6.0,16.0
11,로얄쥬빌리캐로셀,10.0,10,14.0,11,5.0,11.0,11.0,9.0,10.0,11.0,11.0,0.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,6.0,6.0,6.0,7.0
12,시크릿쥬쥬비행기,12.0,11,14.0,10,5.0,10.0,5.0,3.0,4.0,7.0,9.0,6.0,0.0,7.0,6.0,7.0,6.0,7.0,8.0,8.0,3.0,3.0,5.0,4.0,4.0,9.0
13,플래쉬팡팡,13.0,13,15.0,12,2.0,9.0,10.0,11.0,11.0,8.0,8.0,2.0,7.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,7.0,5.0,4.0,4.0,10.0
14,피터팬,13.0,12,15.0,12,2.0,8.0,9.0,10.0,10.0,8.0,7.0,2.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,3.0,3.0,10.0
